IID,time,store_ID,amount,state,money
VQ83448807,2010/4/5 15:51:49,1,331,0,0
UB04384694,2010/3/22 2:42:8,2,386,0,0
BY38998029,2010/5/27 6:32:36,3,610,0,0
OL18801456,2010/3/17 17:8:0,1,388,0,0
QT22584286,2010/6/25 14:33:36,5,513,0,0
DV35585908,2010/4/16 21:59:27,5,526,0,0
JS45731321,2010/4/25 21:14:37,4,413,0,0
HF19154706,2010/4/17 15:34:34,3,756,0,0
JB57499538,2010/2/2 10:12:10,5,396,0,0
UF93861745,2010/5/29 3:59:2,4,582,0,0
NK24793452,2010/4/22 17:50:31,5,518,0,0
NR39346592,2010/3/15 13:44:29,2,836,0,0
SY27265809,2010/4/15 6:37:49,5,246,0,0
DF74468374,2010/1/13 16:17:4,4,669,0,0
KK76783424,2010/6/1 9:46:30,4,369,0,0
DM09160844,2010/3/27 20:25:11,2,481,0,0
PP32998567,2010/6/9 18:21:55,3,342,0,0
XW26617746,2010/3/2 9:42:47,5,152,0,0
WM94949695,2010/5/17 16:52:43,4,758,0,0
UG41490088,2010/2/5 19:59:4,5,190,0,0
RL43423890,2010/5/25 4:56:13,1,367,0,0
BV35103732,2010/1/5 24:12:4,5,598,0,0
NX33026087,2010/6/12 20:54:41,4,671,0,0
VH42334277,2010/6/10 3:43:48,2,331,0,0
YO87092573,2010/2/10 21:21:8,3,528,0,0
BO04001747,2010/5/8 11:42:27,4,816,0,0
XP41591292,2010/4/26 6:12:4,2,212,0,0
UT11816525,2010/3/22 10:0:58,5,566,0,0
UZ94739384,2010/4/16 5:11:51,2,332,0,0
EI17061597,2010/5/29 22:6:58,1,772,0,0
HM23615340,2010/4/18 6:14:53,2,484,0,0
WP65442222,2010/2/30 2:9:0,5,434,0,0
GX52322965,2010/6/22 22:56:26,1,359,0,0
FF27329542,2010/4/22 15:54:58,4,188,0,0
ZY06894440,2010/6/26 1:56:14,1,265,0,0
LX54945846,2010/5/24 6:18:32,2,793,0,0
ZP03471242,2010/5/24 8:23:11,2,91,0,0
SS63558468,2010/6/5 8:37:53,4,140,0,0
ZS88438022,2010/6/16 10:55:12,1,883,0,0
RK40264361,2010/3/25 18:6:23,5,579,0,0
ME42301859,2010/3/16 18:53:58,4,417,0,0
ZV31096165,2010/1/7 2:23:43,4,720,0,0
LW61678133,2010/1/24 8:23:42,1,115,0,0
PL81114948,2010/5/18 17:6:38,3,864,0,0
KO99768434,2010/3/4 5:28:0,2,105,0,0
HB02989180,2010/5/21 3:6:59,3,972,0,0
FK95695803,2010/3/17 7:1:49,5,476,0,0
PE35696263,2010/1/17 18:47:59,2,460,0,0
ZR63077419,2010/4/18 12:12:52,1,392,0,0
WL55992563,2010/6/29 23:5:46,2,76,0,0
NV27455005,2010/2/26 21:23:35,3,942,0,0
EB19925059,2010/2/18 19:47:9,4,325,0,0
HA35555315,2010/5/16 8:51:14,5,299,0,0
WI88258364,2010/6/24 15:2:3,2,997,0,0
YG22227529,2010/3/16 2:40:24,5,660,0,0
ES60508679,2010/3/1 4:37:44,3,487,0,0
GV87677370,2010/6/13 6:12:42,4,572,0,0
OO61445214,2010/6/9 7:20:31,1,775,0,0
MW98200193,2010/3/4 3:30:29,2,136,0,0
XT52356672,2010/1/19 10:35:58,1,467,0,0
UI61387315,2010/5/13 22:19:3,5,561,0,0
JS25549979,2010/4/17 3:48:57,3,148,0,0
DF23961228,2010/3/25 1:44:38,2,640,0,0
NI01557132,2010/4/1 20:42:29,1,813,0,0
CU40307703,2010/6/8 22:0:5,1,128,0,0
LW61464342,2010/4/9 19:43:26,1,317,0,0
WQ43365180,2010/2/30 4:3:38,3,886,0,0
IR17015589,2010/4/3 12:40:40,1,877,0,0
OW98443885,2010/2/29 22:23:10,1,223,0,0
IJ12140381,2010/6/6 21:41:54,1,558,0,0
FZ99673227,2010/3/6 13:13:31,5,388,0,0
IP08553873,2010/1/18 19:30:58,5,860,0,0
DC07314005,2010/2/6 4:50:2,2,706,0,0
KU34511957,2010/4/5 5:59:22,2,581,0,0
PR98992701,2010/6/25 11:16:34,1,150,0,0
YI33056671,2010/5/19 8:29:58,3,930,0,0
NV45720562,2010/4/27 8:19:26,2,520,0,0
TJ14262033,2010/6/27 18:39:29,5,629,0,0
GB69826640,2010/2/30 1:47:45,2,590,0,0
VI16015386,2010/1/16 17:12:2,1,166,0,0
RG49847033,2010/3/13 4:22:8,3,433,0,0
VE01849502,2010/1/4 12:16:0,3,481,0,0
PE17956580,2010/5/8 16:36:40,3,74,0,0
XH91650816,2010/6/1 8:23:19,4,269,0,0
EX05773335,2010/3/23 8:14:20,5,648,0,0
GP10891601,2010/1/11 11:46:18,4,320,0,0
NN81867123,2010/2/27 11:11:58,4,510,0,0
OG51781223,2010/2/4 15:48:23,5,70,0,0
LJ88986169,2010/2/14 11:19:15,1,868,0,0
CP28263292,2010/6/3 8:18:31,2,531,0,0
TQ66339338,2010/1/5 13:50:32,4,624,0,0
LL70275342,2010/4/17 23:24:20,4,223,0,0
VO93185255,2010/2/16 6:19:36,1,390,0,0
CF95496598,2010/4/22 12:32:35,5,510,0,0
TG57400981,2010/6/7 11:12:12,2,468,0,0
VQ99016885,2010/6/22 6:41:18,3,15,0,0
MP33398876,2010/4/4 22:39:50,5,856,0,0
RB17224691,2010/5/30 1:32:5,3,500,0,0
QB70819007,2010/1/19 12:36:22,3,188,0,0
DX56357774,2010/5/9 16:30:40,5,600,0,0
VF53686474,2010/4/3 20:26:57,5,219,0,0
QN85503304,2010/5/21 24:56:48,2,778,0,0
YM41934417,2010/1/27 22:44:1,3,425,0,0
UM01290215,2010/6/8 6:54:11,5,48,0,0
CZ88150562,2010/4/8 24:47:3,2,410,0,0
TF45750541,2010/5/9 15:18:43,1,867,0,0
DU42673618,2010/2/2 1:56:35,5,439,0,0
AS22099315,2010/4/12 14:48:54,4,757,0,0
MQ99521860,2010/2/29 7:11:52,3,108,0,0
FN88703571,2010/5/2 6:45:23,5,735,0,0
LZ07540134,2010/4/4 11:42:38,3,574,0,0
PV50273845,2010/4/4 4:46:36,3,404,0,0
ZW61869815,2010/4/13 12:41:22,5,976,0,0
VV55022056,2010/1/2 15:55:36,3,390,0,0
JW02764210,2010/3/13 18:32:32,4,510,0,0
WF37456076,2010/3/10 18:45:14,4,629,0,0
OM36307468,2010/3/18 20:39:11,5,54,0,0
XS52322406,2010/1/2 3:22:25,5,931,0,0
LV63268233,2010/2/21 12:55:24,3,43,0,0
SL33953482,2010/2/21 4:31:56,2,813,0,0
WY46372879,2010/3/11 18:26:15,1,898,0,0
TR13404570,2010/6/29 8:7:38,2,577,0,0
ON63731305,2010/2/8 3:7:5,2,812,0,0
ND30815155,2010/4/9 1:31:17,1,481,0,0
ZY25704945,2010/6/3 13:29:56,3,457,0,0
FT65013267,2010/4/14 15:51:7,2,947,0,0
JN76321842,2010/3/28 8:44:32,4,32,0,0
HE05595014,2010/4/3 5:24:37,5,153,0,0
NF62341943,2010/5/29 4:55:30,3,93,0,0
RN25417148,2010/5/5 6:55:6,5,183,0,0
BN08741655,2010/5/4 1:6:53,2,878,0,0
TG54814332,2010/6/23 19:22:21,2,906,0,0
BB62525370,2010/4/21 21:18:23,3,745,0,0
VW48566047,2010/4/15 18:22:47,3,878,0,0
RV91164623,2010/3/14 24:38:22,4,541,0,0
YV51906313,2010/3/15 9:20:12,5,586,0,0
KN13960064,2010/2/22 18:44:37,2,337,0,0
NG98677757,2010/6/24 2:9:29,2,508,0,0
XX56611634,2010/4/12 5:39:39,3,832,0,0
AW18985077,2010/6/11 8:3:41,1,126,0,0
PO60086848,2010/2/8 7:48:54,2,655,0,0
WP04129941,2010/6/21 4:35:25,3,633,0,0
YB13575926,2010/3/26 11:18:59,3,712,0,0
ML57246099,2010/6/2 5:4:14,3,277,0,0
FW37716814,2010/2/14 13:23:0,2,131,0,0
SO06394144,2010/6/17 7:43:44,1,721,0,0
LM81958698,2010/4/11 16:9:55,3,411,0,0
DX79997974,2010/3/22 2:8:24,2,111,0,0
XF52109819,2010/6/19 15:2:36,5,451,0,0
UD49846181,2010/5/17 12:44:39,4,591,0,0
LN00067408,2010/6/14 16:26:7,4,25,0,0
TJ41897806,2010/3/1 15:23:30,3,151,0,0
QV05696469,2010/1/10 19:31:42,4,995,0,0
NB38899920,2010/5/11 17:45:55,2,267,0,0
KW69467326,2010/1/6 23:36:37,4,319,0,0
ED51798148,2010/2/9 7:30:1,2,199,0,0
GX25616458,2010/1/16 3:16:44,4,202,0,0
UI95999395,2010/6/7 10:53:35,3,166,0,0
KG37931249,2010/6/19 4:5:10,4,635,0,0
SM93217950,2010/6/12 9:32:20,4,467,0,0
FP27248231,2010/2/11 23:41:58,5,508,0,0
IK01434297,2010/2/2 21:37:7,2,90,0,0
WX98115128,2010/5/3 5:1:6,4,835,0,0
EN66923037,2010/2/21 18:4:33,3,872,0,0
VV18813904,2010/1/19 21:45:35,2,100,0,0
OP30039946,2010/6/13 4:3:32,4,239,0,0
WM56720831,2010/5/30 19:6:44,3,802,0,0
KN92333730,2010/6/2 23:17:54,4,325,0,0
QM57366698,2010/4/24 9:18:16,5,625,0,0
ET64987680,2010/2/25 4:17:54,2,915,0,0
QR86116773,2010/2/8 19:42:24,4,723,0,0
KM51094655,2010/6/2 18:49:20,2,987,0,0
UG18499849,2010/4/17 8:23:25,5,492,0,0
CS07570139,2010/1/19 10:52:36,4,534,0,0
RJ14324652,2010/1/30 16:57:19,1,871,0,0
XX62747736,2010/1/17 22:36:40,3,43,0,0
GL85678520,2010/4/25 5:46:48,2,747,0,0
NV55707855,2010/6/29 11:30:31,3,218,0,0
TZ77679034,2010/4/12 2:27:39,1,272,0,0
RA77264521,2010/2/30 1:40:27,5,70,0,0
CN39139644,2010/3/6 1:49:12,3,511,0,0
WI66711014,2010/4/8 20:49:14,5,718,0,0
VW36549930,2010/6/27 1:46:51,3,654,0,0
XB83299421,2010/4/9 3:7:9,3,797,0,0
CE03400382,2010/5/14 14:18:0,1,35,0,0
CJ29677752,2010/1/10 9:20:45,1,954,0,0
WO25709828,2010/6/15 2:53:51,5,252,0,0
HW29458640,2010/6/26 24:12:44,5,914,0,0
AS18218202,2010/2/26 10:58:41,4,702,0,0
TU14729702,2010/2/21 10:14:7,4,455,0,0
MT07244326,2010/3/12 16:28:0,5,816,0,0
WF90011286,2010/6/5 24:39:55,5,964,0,0
JF09061303,2010/6/14 17:47:2,5,635,0,0
HG18090108,2010/3/13 9:22:29,1,819,0,0
YO88885161,2010/4/21 16:41:32,2,600,0,0
DD46780157,2010/3/15 2:37:34,2,883,0,0
KY65541844,2010/3/27 19:40:42,5,754,0,0
HD29570819,2010/5/20 8:36:36,3,762,0,0
FT22414762,2010/5/6 5:54:52,3,792,0,0
HB21622234,2010/6/20 21:3:47,5,488,0,0
GX18908426,2010/3/11 17:35:39,5,774,0,0
LY04052497,2010/5/14 17:0:9,2,10,0,0
TL22570157,2010/2/9 19:34:20,2,413,0,0
AN32479866,2010/4/10 16:3:43,3,196,0,0
RM93221679,2010/4/11 2:35:47,1,979,0,0
ML73263059,2010/3/7 13:20:15,4,995,0,0
MM38102540,2010/3/15 11:29:52,5,346,0,0
LR32582066,2010/2/24 17:28:0,1,85,0,0
LK79587934,2010/6/20 24:3:30,3,229,0,0
YV21875530,2010/4/5 1:11:34,1,445,0,0
RO75524588,2010/3/22 10:22:59,3,438,0,0
FC99182558,2010/2/24 12:53:31,2,262,0,0
TO65985181,2010/6/27 23:17:12,2,210,0,0
CT28234590,2010/6/17 17:6:26,2,962,0,0
QU09731421,2010/6/17 10:36:51,2,653,0,0
PF60294589,2010/6/29 4:13:23,3,588,0,0
QC34564404,2010/1/11 6:40:10,2,719,0,0
LD35009313,2010/4/20 8:54:21,5,798,0,0
ET26744077,2010/6/18 23:56:42,1,659,0,0
HQ04810741,2010/3/23 17:27:22,5,806,0,0
ZT02475006,2010/5/3 15:36:59,4,73,0,0
XO08865731,2010/1/16 23:46:21,4,812,0,0
LV63762054,2010/4/21 8:28:58,1,324,0,0
DY49940087,2010/1/25 12:45:48,4,854,0,0
JX73724188,2010/3/15 4:14:29,5,619,0,0
PF94333596,2010/5/27 21:57:44,3,802,0,0
VN88030193,2010/2/2 5:11:5,5,790,0,0
OR80843171,2010/4/6 23:21:31,4,777,0,0
LZ33286576,2010/1/17 23:49:28,4,654,0,0
GU00080539,2010/5/12 7:3:56,4,956,0,0
SX11027547,2010/3/3 13:19:16,5,12,0,0
WD93268083,2010/4/29 7:21:51,5,946,0,0
VJ64069071,2010/5/26 4:32:24,1,773,0,0
HR65221089,2010/3/26 3:42:13,3,506,0,0
AW34117719,2010/3/27 1:6:55,3,55,0,0
OR75833605,2010/1/20 12:46:12,5,185,0,0
XG31522646,2010/3/15 20:10:6,3,433,0,0
WR64612569,2010/2/7 20:5:53,3,200,0,0
KK71650312,2010/6/24 5:19:28,4,78,0,0
CZ12344423,2010/6/29 3:27:36,1,171,0,0
YS33619175,2010/6/10 14:13:35,3,913,0,0
JC14406666,2010/4/19 24:0:34,2,648,0,0
KE78614262,2010/6/29 8:59:4,5,689,0,0
RD21598582,2010/3/15 3:41:25,4,317,0,0
